Artist,Album,Year,Listened To?,Bought,Want,Don't want
Duke Ellington,In A Mellotone,1940,x,,x,
Duke Ellington,Sophisticated Lady,1940,x,,x,
Duke Ellington,Black Brown and Beige,1943,x,,,x
Coleman Hawkins,Rainbow Mist,1944,,,,x
Mary Lou Williams,Zodiac Suite,1945,,,,x
Lennie Tristano,Crosscurrents,1949,,,x,
Duke Ellington,Liberian Suite,1949,,,,x
Lee Konitz,Subconscious-Lee,1949,,,,x
Bob Wilber,Jazz Band,1949,,,,x
Miles Davis,Birth of the Cool,1950,x,,x,
Stan Kenton,Presents,1950,,,x,
Ralph Sutton,Ralph Sutton,1950,,,x,
Lennie Tristano,Wow,1950,,,,x
Stan Getz,Quartets,1950,,,,x
Stan Kenton,City of Glass,1951,,,x,
Oscar Peterson,1951,1951,,,,x
Shorty Rogers,Modern Sounds,1951,,,,x
Gerry Mulligan,Mulligan Quartet,1952,,,,x
Duke Ellington,Piano Reflections,1953,,,,
Ben Webster,King Of The Tenors,1953,,,,
Modern Jazz Quartet,Django,1953,,,,
Shorty Rogers,Cool And Crazy,1953,,,,
Jay Jay Johnson,Four Trombones,1953,,,,
Sarah Vaughan,Sarah Vaughan,1954,,,,
Chet Baker,Sextet,1954,,,,
Herbie Nichols,The Third World,1955,,,,
Ahmad Jamal,Poinciana,1955,,,,
Erroll Garner,Concert by the Sea,1955,,,,
George Shearing,Spell,1955,,,,
Horace Silver,Horace Silver and the Jazz Messengers,1955,,,,
Lennie Tristano,Lennie Tristano,1955,,,,
Oscar Peterson,Al Zardis,1955
Frank Morgan,Frank Morgan,1955
Herbie Nichols,Herbie Nichols Trio,1955
Frank Sinatra,Songs for Young Lovers,1955
Charles Mingus Pithecanthropus Erectus,,1956
Modern Jazz Quartet,Fontessa,1956
Thelonious Monk,Brilliant Corners,1956
Sonny Rollins,Saxophone Colossus,1956
George Russell,Jazz Workshop,1956
Lennie Tristano,Manhattan Studio/ New York Improvisations,1956
Max Roach,Plus Four,1956
John Lewis,Grand Encounter,1956
Horace Silver Six Pieces of Silver,,1956
Kenny Burrell,All Night Long,1956
Lucky Thompson,Tricotism,1956
Phineas Newborn,Piano Artistry,1956
Miles Davis,Round About Midnight,1956
Zoot Sims,Tonite's Music Today,1956
Mel Torme`,Touch,1956
Quincy Jones,This Is How I Feel About Jazz,1956
Stan Kenton,Cuban Fire,1956
Jimmy Giuffre,The Jimmy Giuffre Clarinet,1956
Jimmy Smith,A New Star A New Sound,1956
Kenny Burrell,All Day Long,1956
Charles Mingus,Tijuana Moods,1957
Art Blakey,Orgy In Rhythm,1957
Yusef Lateef,Jazz Mood,1957
John Coltrane,Blue Train,1957
John Lewis,Piano,1957
Milt Jackson,Soul Brothers,1957
Miles Davis,Miles Ahead,1957
Ben Webster,Soulville,1957
Sonny Rollins,Way Out West,1957
Ben Webster,Tenor Giants,1957
Art Pepper,Meets the Rhythm Section,1957
Art Taylor,Wailers,1957
Max Roach,Jazz in 3/4 time,1957
Jay Jay Johnson,Blue Trombone,1957
Hank Mobley,Quintet,1957
Herbie Mann,Flute Souffle,1957
Jimmy Giuffre,Western Suite,1958
Sun Ra,Jazz in Silhouette,1958
Sonny Rollins,Freedom Suite,1958
Art Blakey,Moanin',1958
Cecil Taylor,Looking Ahead,1958
Jimmy Smith,The Sermon,1958
Blue Mitchell,Big Six,1958
Max Roach,Deeds Not Words,1958
Clark Terry,In Orbit,1958
Cannonball Adderley,Somethin' Else,1958
Chico Hamilton,Gongs East,1958
Hank Mobley,Peckin' Time,1958
Mongo Santamaria,Yambu,1958
Cal Tjader,Latin Concert,1958
Toots Thielemans,Man Bites Harmonica,1958
Thelonious Monk,Misterioso,1958
Jimmy Giuffre,The Four Brothers Sound .,1958
Ornette Coleman,The Shape of Jazz To Come,1959
George Russell,New York New York,1959
Miles Davis,Kind Of Blue,1959
Charles Mingus,Mingus Ah Um,1959
John Coltrane,Giant Steps,1959
Art Pepper,Plus Eleven,1959
Billy Taylor,And Four Flutes,1959
Charles Mingus,Blues and Roots,1959
Gerry Mulligan,What Is There To Say,1959
